kod;nazev;volici_v_seznamu;vydane_obalky;platne_hlasy;1;10;2;23;3;5;6;ANO 2011;Blok proti islam.-Obran.domova;CESTA ODPOVĚDNÉ SPOLEČNOSTI;Dobrá volba 2016;Dělnic.str.sociální spravedl.;Komunistická str.Čech a Moravy;Křesť.demokr.unie-Čs.str.lid.;Občanská demokratická aliance;Občanská demokratická strana;REALISTÉ;ROZUMNÍ-stop migraci,diktát.EU;Radostné Česko;Referendum o Evropské unii;SPORTOVCI;SPR-Republ.str.Čsl. M.Sládka;STAROSTOVÉ A NEZÁVISLÍ;Strana Práv Občanů;Strana svobodných občanů;Strana zelených;Svob.a př.dem.-T.Okamura (SPD);TOP 09;Unie H.A.V.E.L.;Česká pirátská strana;Česká str.sociálně demokrat.;Česká strana národně sociální;Řád národa - Vlastenecká unie
529796;Chocerady;0;0;0;0;0;100,00;0;0;0;0;171;0;1;0;0;51;12;2;74;8;4;0;0;2;1;42;0;12;9;53;46;1;119;50;0;1
532606;Choratice;0;0;0;100,00;0;0;0;0;0;0;10;0;0;0;0;1;6;0;5;0;1;0;0;0;0;4;0;0;0;2;3;0;0;2;0;0
529818;Chotýšany;0;0;0;100,00;0;0;0;0;0;0;91;1;0;0;2;16;7;0;27;1;5;0;1;1;0;31;0;6;1;33;5;0;35;29;0;0
532037;Chrášťany;0;0;0;100,00;0;0;0;0;0;0;40;1;0;0;0;14;9;0;20;0;1;0;0;0;0;9;0;0;1;3;4;0;20;1;0;0
529842;Jankov;0;0;0;0;0;100,00;0;0;0;0;145;0;0;0;1;34;20;0;23;1;2;1;0;2;3;51;2;5;3;35;24;0;49;28;0;0
529851;Javorník;0;0;0;100,00;0;0;0;0;0;0;20;0;0;0;0;5;6;0;3;2;1;0;0;0;0;7;0;0;2;13;0;0;9;11;0;0
532134;Ješetice;0;0;0;100,00;0;0;0;0;0;0;19;0;0;0;0;6;5;0;2;0;0;0;1;0;0;6;0;1;0;15;1;0;7;4;0;0
531031;Kamberk;0;0;0;100,00;0;0;0;0;0;0;28;0;0;0;0;1;1;0;17;2;0;0;0;0;0;2;0;2;0;8;6;0;9;5;0;0
529907;Keblov;0;0;0;100,00;0;0;0;0;0;0;34;0;0;0;0;10;3;0;10;2;1;0;0;0;1;8;0;1;0;11;2;0;6;10;0;0
533084;Kladruby;0;0;0;100,00;0;0;0;0;0;0;47;0;0;0;0;17;19;0;14;2;1;0;0;0;1;15;1;4;1;16;11;0;24;9;0;0
